filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
9710479.png,4908498,"{}",16,0,"{""name"":""point"",""cx"":551,""cy"":1812}","{""Bone"":""T"",""Side"":""R""}"
9710479.png,4908498,"{}",16,1,"{""name"":""point"",""cx"":671,""cy"":1805}","{""Bone"":""T"",""Side"":""R""}"
9710479.png,4908498,"{}",16,2,"{""name"":""point"",""cx"":781,""cy"":1766}","{""Bone"":""T"",""Side"":""R""}"
9710479.png,4908498,"{}",16,3,"{""name"":""point"",""cx"":881,""cy"":1706}","{""Bone"":""T"",""Side"":""R""}"
9710479.png,4908498,"{}",16,4,"{""name"":""point"",""cx"":940,""cy"":1725}","{""Bone"":""T"",""Side"":""R""}"
9710479.png,4908498,"{}",16,5,"{""name"":""point"",""cx"":996,""cy"":1673}","{""Bone"":""T"",""Side"":""R""}"
9710479.png,4908498,"{}",16,6,"{""name"":""point"",""cx"":1060,""cy"":1791}","{""Bone"":""T"",""Side"":""R""}"
9710479.png,4908498,"{}",16,7,"{""name"":""point"",""cx"":1199,""cy"":1817}","{""Bone"":""T"",""Side"":""R""}"
9710479.png,4908498,"{}",16,8,"{""name"":""point"",""cx"":1350,""cy"":1804}","{""Bone"":""T"",""Side"":""R""}"
9710479.png,4908498,"{}",16,9,"{""name"":""point"",""cx"":584,""cy"":1741}","{""Bone"":""F"",""Side"":""R""}"
9710479.png,4908498,"{}",16,10,"{""name"":""point"",""cx"":681,""cy"":1758}","{""Bone"":""F"",""Side"":""R""}"
9710479.png,4908498,"{}",16,11,"{""name"":""point"",""cx"":806,""cy"":1716}","{""Bone"":""F"",""Side"":""R""}"
9710479.png,4908498,"{}",16,12,"{""name"":""point"",""cx"":953,""cy"":1646}","{""Bone"":""F"",""Side"":""R""}"
9710479.png,4908498,"{}",16,13,"{""name"":""point"",""cx"":1081,""cy"":1741}","{""Bone"":""F"",""Side"":""R""}"
9710479.png,4908498,"{}",16,14,"{""name"":""point"",""cx"":1212,""cy"":1802}","{""Bone"":""F"",""Side"":""R""}"
9710479.png,4908498,"{}",16,15,"{""name"":""point"",""cx"":1359,""cy"":1792}","{""Bone"":""F"",""Side"":""R""}"
9748094.png,6995738,"{}",16,0,"{""name"":""point"",""cx"":823,""cy"":1656}","{""Bone"":""T"",""Side"":""R""}"
9748094.png,6995738,"{}",16,1,"{""name"":""point"",""cx"":973,""cy"":1676}","{""Bone"":""T"",""Side"":""R""}"
9748094.png,6995738,"{}",16,2,"{""name"":""point"",""cx"":1120,""cy"":1647}","{""Bone"":""T"",""Side"":""R""}"
9748094.png,6995738,"{}",16,3,"{""name"":""point"",""cx"":1240,""cy"":1568}","{""Bone"":""T"",""Side"":""R""}"
9748094.png,6995738,"{}",16,4,"{""name"":""point"",""cx"":1301,""cy"":1570}","{""Bone"":""T"",""Side"":""R""}"
9748094.png,6995738,"{}",16,5,"{""name"":""point"",""cx"":1347,""cy"":1539}","{""Bone"":""T"",""Side"":""R""}"
9748094.png,6995738,"{}",16,6,"{""name"":""point"",""cx"":1436,""cy"":1652}","{""Bone"":""T"",""Side"":""R""}"
9748094.png,6995738,"{}",16,7,"{""name"":""point"",""cx"":1580,""cy"":1671}","{""Bone"":""T"",""Side"":""R""}"
9748094.png,6995738,"{}",16,8,"{""name"":""point"",""cx"":1726,""cy"":1645}","{""Bone"":""T"",""Side"":""R""}"
9748094.png,6995738,"{}",16,9,"{""name"":""point"",""cx"":838,""cy"":1645}","{""Bone"":""F"",""Side"":""R""}"
9748094.png,6995738,"{}",16,10,"{""name"":""point"",""cx"":1017,""cy"":1640}","{""Bone"":""F"",""Side"":""R""}"
9748094.png,6995738,"{}",16,11,"{""name"":""point"",""cx"":1149,""cy"":1575}","{""Bone"":""F"",""Side"":""R""}"
9748094.png,6995738,"{}",16,12,"{""name"":""point"",""cx"":1270,""cy"":1461}","{""Bone"":""F"",""Side"":""R""}"
9748094.png,6995738,"{}",16,13,"{""name"":""point"",""cx"":1466,""cy"":1564}","{""Bone"":""F"",""Side"":""R""}"
9748094.png,6995738,"{}",16,14,"{""name"":""point"",""cx"":1586,""cy"":1601}","{""Bone"":""F"",""Side"":""R""}"
9748094.png,6995738,"{}",16,15,"{""name"":""point"",""cx"":1740,""cy"":1578}","{""Bone"":""F"",""Side"":""R""}"
9340139.png,4619733,"{}",16,0,"{""name"":""point"",""cx"":705,""cy"":1855}","{""Bone"":""T"",""Side"":""R""}"
9340139.png,4619733,"{}",16,1,"{""name"":""point"",""cx"":812,""cy"":1901}","{""Bone"":""T"",""Side"":""R""}"
9340139.png,4619733,"{}",16,2,"{""name"":""point"",""cx"":941,""cy"":1864}","{""Bone"":""T"",""Side"":""R""}"
9340139.png,4619733,"{}",16,3,"{""name"":""point"",""cx"":1042,""cy"":1799}","{""Bone"":""T"",""Side"":""R""}"
9340139.png,4619733,"{}",16,4,"{""name"":""point"",""cx"":1093,""cy"":1813}","{""Bone"":""T"",""Side"":""R""}"
